angDist,_RAJ2000,_DEJ2000,Source,Cluster,RAdeg,DEdeg,Gmag,plx,e_plx,Simbad,_RA,_DE,ra_epoch2000,dec_epoch2000,errHalfMaj,errHalfMin,errPosAng,source_id,ra,ra_error,dec,dec_error,parallax,parallax_error,pmra,pmra_error,pmdec,pmdec_error,duplicated_source,phot_g_mean_flux,phot_g_mean_flux_error,phot_g_mean_mag,phot_bp_mean_flux,phot_bp_mean_flux_error,phot_bp_mean_mag,phot_rp_mean_flux,phot_rp_mean_flux_error,phot_rp_mean_mag,bp_rp,radial_velocity,radial_velocity_error,rv_nb_transits,teff_val,a_g_val,e_bp_min_rp_val,radius_val,lum_val
0.000350,65.8544333,16.7772664,3313842529024545664,Hyades,65.85491,16.77715,5.564,20.52,0.059,Simbad,65.85443,16.77727,65.8544332051660,16.7772663648766,0.003,0.002,90,3313842529024545664,65.85491461033,0.0940,16.77715110760,0.0485,20.4341,0.1093,107.051,0.202,-26.770,0.152,0,1.12159e+08,7.64271e+04,5.563784,7.07932e+07,6.23750e+04,5.726410,5.86994e+07,1.03281e+05,5.340336,0.386074,,,0,7401.67,0.7190,0.3633,1.98,10.552
0.000536,66.0928056,17.0789556,3313947704182762240,Hyades,66.09325,17.07884,6.839,19.595,0.017,Simbad,66.09281,17.07896,66.0928056803697,17.0789554725408,0.003,0.001,90,3313947704182762240,66.09325498830,0.0664,17.07883973584,0.0289,19.5922,0.0707,99.753,0.167,-26.881,0.093,1,3.46451e+07,6.62768e+03,6.839261,2.02030e+07,8.41283e+03,7.087849,2.03954e+07,1.67505e+04,6.488092,0.599757,38.54,0.34,20,6466.95,0.2653,0.1490,1.49,3.492
0.000322,66.2510297,16.9848975,3313759000500605056,Hyades,66.25144,16.98479,9.968,18.257,0.02,Simbad,66.25103,16.9849,66.2510296346715,16.9848975639060,0.002,0.001,90,3313759000500605056,66.25143984368,0.0596,16.98479106816,0.0272,18.2821,0.0622,91.119,0.155,-24.735,0.086,0,1.94190e+06,8.17019e+02,9.967796,8.50485e+05,7.81540e+02,10.527222,1.54282e+06,1.00489e+03,9.291132,1.236090,39.19,0.88,5,4798.22,0.2098,0.1070,0.75,0.266
0.000433,66.024005,17.4441325,3313978112552491136,Hyades,66.02451,17.44399,4.724,21.674,0.146,Simbad,66.024,17.44413,66.0240051212644,17.4441325328018,0.007,0.005,90,3313978112552491136,66.02450502016,0.1909,17.44398972576,0.1148,21.6697,0.2085,110.766,0.477,-33.168,0.353,1,2.42971e+08,4.45948e+05,4.724478,1.58357e+08,1.10970e+05,4.852298,1.13113e+08,1.60497e+05,4.628136,0.224162,,,0,8174.00,0.4650,0.2310,,
0.000651,74.9346733,15.9167331,3393284752392701312,Hyades,74.93506,15.9166,6.627,22.461,0.03,Simbad,74.93467,15.91673,74.9346732731015,15.9167329209552,0.003,0.001,90,3393284752392701312,74.93505593871,0.0859,15.91660469570,0.0467,22.3984,0.0872,85.470,0.166,-29.781,0.076,0,4.21280e+07,1.20113e+04,6.626940,2.44633e+07,4.16821e+04,6.880098,2.47226e+07,5.77951e+04,6.279186,0.600913,41.72,0.54,8,6520.25,0.2267,0.1237,1.41,3.248
0.000389,71.1317658,23.9410858,147022541634235392,Hyades,71.13217,23.94088,14.23,19.547,0.03,Simbad,71.13177,23.94109,71.1317659119269,23.9410857653312,0.002,0.001,90,147022541634235392,71.13217218674,0.0603,23.94087573265,0.0376,19.5031,0.0697,86.242,0.138,-48.782,0.062,0,3.83238e+04,3.06991e+01,14.229694,6.11274e+03,3.52962e+01,15.885799,5.15681e+04,1.10624e+02,12.980967,2.904833,,,0,3927.47,0.6310,0.3607,,
0.000109,72.9723033,24.6101225,147118233505518976,Hyades,72.97271,24.60989,15.845,20.973,0.036,Simbad,72.9723,24.61012,72.9723032851961,24.6101225271419,0.002,0.001,90,147118233505518976,72.97271266712,0.0806,24.60988527928,0.0480,20.9161,0.0933,86.445,0.153,-55.103,0.084,0,8.65335e+03,5.78353e+00,15.845406,9.94050e+02,1.00811e+01,17.857868,1.27803e+04,4.60130e+01,14.495566,3.362302,,,0,4083.52,0.3140,0.1960,,
0.000217,72.3041083,24.8028411,147182172683187712,Hyades,72.30451,24.80261,9.227,20.153,0.016,Simbad,72.30411,24.80284,72.3041083033345,24.8028410398870,0.002,0.001,90,147182172683187712,72.30450995577,0.0458,24.80261227724,0.0278,20.1355,0.0546,84.682,0.104,-53.132,0.050,0,3.84265e+06,4.13656e+03,9.226789,1.63073e+06,6.04038e+03,9.820434,3.15447e+06,8.72318e+03,8.514605,1.305829,,,0,4859.03,0.8363,0.4063,0.92,0.427
0.000335,66.9711917,20.9815003,144512287869179136,Hyades,66.97162,20.98134,17.647,18.817,0.045,Simbad,66.97119,20.9815,66.9711917197004,20.9815003913492,0.005,0.004,90,144512287869179136,66.97161672650,0.1576,20.98134063834,0.0841,18.8687,0.1669,92.166,0.322,-37.104,0.243,0,1.64590e+03,1.79067e+00,17.647360,1.14357e+02,6.70785e+00,20.205732,2.73770e+03,1.40758e+01,16.168457,4.037275,,,0,,,,,
0.000264,68.4049192,21.1508511,144377799556207488,Hyades,68.40542,21.15065,10.199,22.835,0.014,Simbad,68.40492,21.15085,68.4049191453702,21.1508511525781,0.001,0.001,90,144377799556207488,68.40541889062,0.0435,21.15065164692,0.0238,22.8329,0.0471,108.251,0.096,-46.337,0.060,1,1.56970e+06,6.58168e+02,10.198821,5.98241e+05,4.03719e+02,10.909198,1.38152e+06,7.85214e+02,9.411024,1.498174,40.47,0.24,2,4334.00,0.4320,0.2090,0.72,0.164
